大陆,#genre#
黑莓动画,http://111.40.205.76/PLTV/88888888/224/3221225662/index.m3u8
黑莓动画 (Backup),http://121.31.30.90:8085/ysten-business/live/donghuawg/1.m3u8
黑莓电影,http://121.31.30.90:8085/ysten-business/live/jdianying/1.m3u8
黑莓电影 (Backup),http://111.40.205.76/PLTV/88888888/224/3221225667/index.m3u8

新加坡,#genre#
Channel 8,https://d34e90s3s13i7n.cloudfront.net/hls/ch8ctv/master.m3u8
Channel U,https://d3inlz9elsutjl.cloudfront.net/hls/chuctv/master.m3u8

台湾,#genre#
GOOD TV CH1 綜合台,http://live.streamingfast.net/osmflivech1.m3u8
GOOD TV CH10 烤箱讀書會 短版,http://live.streamingfast.net/osmflivech10.m3u8
GOOD TV CH12 維他命施,http://live.streamingfast.net/osmflivech12.m3u8
GOOD TV CH13 健康新煮流 短版,http://live.streamingfast.net/osmflivech13.m3u8
GOOD TV CH14 真情部落格,http://live.streamingfast.net/osmflivech14.m3u8
GOOD TV CH15 真情之夜,http://live.streamingfast.net/osmflivech15.m3u8
GOOD TV CH16 葉光明,http://live.streamingfast.net/osmflivech16.m3u8
GOOD TV CH17 大衛鮑森,http://live.streamingfast.net/osmflivech17.m3u8
GOOD TV CH19 共享觀點,http://live.streamingfast.net/osmflivech19.m3u8
GOOD TV CH2 真理台,http://live.streamingfast.net/osmflivech2.m3u8
GOOD TV CH20 恩典時分,http://live.streamingfast.net/osmflivech20.m3u8
GOOD TV CH21 華語講員,http://live.streamingfast.net/osmflivech21.m3u8
GOOD TV CH22 職場新視野,http://live.streamingfast.net/osmflivech22.m3u8
GOOD TV CH23 空中主日學 生活,http://live.streamingfast.net/osmflivech23.m3u8
GOOD TV CH26 空中主日學 查經,http://live.streamingfast.net/osmflivech26.m3u8
GOOD TV CH27 空中聖經學院,http://live.streamingfast.net/osmflivech27.m3u8
GOOD TV CH28 現代詩歌,http://live.streamingfast.net/osmflivech28.m3u8
GOOD TV CH29 經典音樂河,http://live.streamingfast.net/osmflivech29.m3u8
GOOD TV CH3 真情部落格 短版,http://live.streamingfast.net/osmflivech3.m3u8
GOOD TV CH30 天堂敬拜,http://live.streamingfast.net/osmflivech30.m3u8
GOOD TV CH31 福音佈道音樂會,http://live.streamingfast.net/osmflivech31.m3u8
GOOD TV CH32 特會系列：禱告與轉化,http://live.streamingfast.net/osmflivech32.m3u8
